mt,src,score
"Cóż, prawdopodobnie utrzymaliby to w tajemnicy, dopóki nie zamienili prototypowego leku w aktywną substancję farmaceutyczną.","Well, they'd probably keep it a secret until they turned the prototype drug into an active pharmaceutical substance.",4.5
"Najpierw dostałem instruktorkę, która nauczyła mnie roli kobiecej, ponieważ chciałem zrozumieć wrażliwość i umiejętności, które muszą rozwinąć następcy, aby nie mieć powtórki z college'u.",I got a female instructor first to teach me the female role the follow because I wanted to understand the sensitivities and abilities that the follow needed to develop so I wouldn not have a repeat of college.,3.166666667
Radiolodzy dzielą gęstość piersi na cztery kategorie w oparciu o wygląd tkanki na mammografii.,Radiologists divide breast density into four categories based on the appearance of tissue in mammography.,4.666666667
"Czasami pokazuje ci, czego nie powinieneś robić.",Sometimes it shows you what you shouldn not do.,3.666666667
"Czy możesz nam powiedzieć, co ujawniłeś i co się stało.",Can you tell us what you leaked and what happened.,5
"I pojechałem na wyspę Bimini na Bahamach, aby pracować ze szczeniętami rekina cytrynowego.",And I went to the island of Bimini in the Bahamas to work with lemon shark pups.,4.5
"Mają 10000 osób, które otrzymują 20 centów za odpowiedź.","They have 10,000 people who get 20 cents for their answer.",4.583333333
Musimy ograniczyć dochody z premii kulturowych na górze.,We need to reduce the revenue from the cultural bonuses upstairs.,4.416666667
"Jedną z najpiękniejszych rzeczy jest to, że projektanci naprawdę pracują nad życiem, mimo że uwzględniają technologię.","One of the most beautiful things is that designers really work on life, even though they take technology into account.",4.25
Jednym z nich jest wzrost w kierunku społeczności i dzielnic oraz zwiększony nacisk na sąsiadów jako system wsparcia.,One is the rise toward communities and neighborhoods and increased emphasis on your neighbors as your support system.,3.916666667
"Mógłbyś wygłosić im długie przemówienie polityczne, którego nadal by nie zrozumieli.",You could give them a long political speech they would still not understand.,4.5
"I Tasneem Siddiqui, który opracował sposób zwany budownictwem przyrostowym, w ramach którego przeniósł 40000 mieszkańców slumsów do bezpiecznych i niedrogich mieszkań komunalnych.","And Tasneem Siddiqui, who developed a way called incremental construction, in which he transferred 40000 slum residents to safe and affordable urban housing.",4.5
Więc chciałem mieć ten mały obraz.,So I wanted this little painting.,4.833333333
Technologia to więc coś więcej niż tylko rzeczy w Twojej kieszeni.,So technology is more than just things in your pocket.,4.416666667
"Jeśli więc uwzględnię zmiany klimatyczne przez cały rok 2006, zobaczymy, jak wygląda ten wszechświat.","So if I take into account climate change throughout 2006, we'll see what this universe looks like.",4
Twój dziadek ma naruszenie zasad parkowania. Jest to spóźnione.,Your grandfather has a parking violation It is way overdue.,3.666666667
Więc wymyśliliśmy kilka nowych rzeczy. Mamy moskitiery do łóżek.,So we've come up with some new things.,4.583333333
Przekroczył wszelkie granice Czy był czarny czy biały Czy był mężczyzną czy kobietą.,He crossed all boundaries whether he was black or white whether he was a man or a woman.,4.333333333
Więc 34 centy opłaty za transakcję zagraniczną.,So 34 cents of a foreign transaction fee.,4.583333333
Krzywa jest bardzo podobna do leksygramu.,The curved line is very similar to the lexigram.,4.666666667
"Ale to, co nas łączy, odróżnia mnie od większości ludzi w mojej społeczności i jestem pomiędzy tymi dwoma światami, mając dość serca, by walczyć o sprawiedliwość w drugim.","But what we have in common sets me apart from most people in my community, and I'm between these two worlds, with enough heart to fight for justice in the other.",4.333333333
A potem pojechałem na spotkanie do Włoch.,And but then I went to a meeting in Italy.,3.833333333
Pani Young Soon Han.,Mrs. Young Soon Han.,4.5
"Był aktorem Widziałeś, jak gra.",He was an actor. You saw him play.,4.5
"Nie ma wabienia na jedzenie i nie ma zębów, żeby je zjeść, gdy się tam dostanie.",There's no lure for food and no teeth to eat when he gets there.,3.416666667
"Każdy, kogo to uderzy, czuje nagły przypływ ciepła i po prostu chce zejść z drogi.",And anybody who is hit with this feels this sudden burst of heat and just wants to get out of the way.,4.25
Właściwie to w zasadzie trzy kwadratowe pokoje z kilkoma świetlikami i innymi rzeczami.,It is actually basically three square rooms with a couple of skylights and stuff.,4
"Jeśli zacznę tutaj tę małą grę, którą zrobiły dzieci, rozbije ona statek kosmiczny.",If I start the little game here that the kids have done it will crash the space ship.,4.583333333
"W naszych oczach soczewka jest przezroczysta, ale u tego dziecka soczewka stała się matowa i dlatego nie może widzieć świata.","In our eyes, the lens is transparent, but in this child the lens has become matt and therefore cannot see the world.",4.416666667
Tak powiedział Richard w 93 roku.,That's what Richard said in '93.,4.916666667
Co o tym myślisz kochanie.,What do you think honey.,4.583333333
"Muszę teraz zrobić coś, co dla maga wydaje się trochę dziwne.",I have to do something now that seems a little weird to the magician.,4.5
"I oczywiście, jeśli zejdziesz do miejsca, w którym jest 15 razy więcej, im głębiej się zagłębisz, tym bardziej zaostrzy się problem.","And of course, if you go down to a place where there's 15 times more, the deeper you go down, the more the problem gets.",4.083333333
Żaden z nich nie uczęszczał na uniwersytet.,Neither of them attended university.,4
W Port Elizabeth wioska na obrzeżach Port Elizabeth w RPA.,In Port Elizabeth the village outside Port Elizabeth in South Africa.,4.416666667
"Ale te wszystkie podróże balonem kończyły się, gdybyś wiedział, że za każdym razem coś idzie nie tak i przy tej szczególnej okazji bardziej doświadczony balonista, który był ze mną, podskoczył i zostawił mnie trzymanego na całe życie.",But all those balloon trips ended if you knew that every time something went wrong and on this special occasion a more experienced balloonist who was with me jumped up and left me being held for life.,3.75
"Wiesz, że polityka publiczna będzie lepiej reagować na potrzeby ubogich i dlatego uważam, że jest w porządku.","You know that public policy will respond better to the needs of the poor, and that's why I think it's okay.",4.5
"Ale zawsze istnieje złudzenie, że jeśli kupisz tę lampę, będziesz żył w świecie bez przewodów.",But there is always this illusion that if you buy this lamp you will live in a world without cords.,4.5
Mam zadanie do wykonania.,I have a job to do.,4.5
"SS Cóż, dlaczego nie powiesz im, jak dotarłeś do Georgetown, dlaczego nie zaczniemy tam.","SS Well, why don't you tell them how you got to Georgetown, why don't we start there.",4.25
Prawie bez siły mogę kontrolować jego pozycję i prędkość.,"Almost without strength, I can control his position and speed.",4.416666667
W klinice umieściliśmy brzęczyk.,We put a buzzer in the clinic.,4.583333333
"Na szczęście nadal wydaje się, że nie zaszkodziło to ostatniemu wyciekowi ropy.",Luckily still it seems to be out of harm is way of the recent oil spill.,4
Nasza wielka przełom nastąpił w 2004 roku.,Our big break came in 2004.,4.083333333
"OK, więc jeśli weźmiemy to równanie, dlaczego nie słyszeliśmy od nikogo.",OK so if we take that equation why haven not we heard from anybody out there.,4.333333333
"A budynek jest bardzo rzeźbiarski, gdy go obchodzisz.",And the building is very sculptural as you walk around it.,4.083333333
"Powiedzieli jej, że nie może kochać swojej pochwy w liceum, że nie jest to prawnie, że nie jest rzeczą moralną, że nie jest to dobra rzecz.",They told her she couldn not love her vagina in high school that it was not a legal thing that it was not a moral thing that it was not a good thing.,4.25
"W wieku dwóch lat został przemycony do więzienia, aby ukryć się pod jej spódniczkami, ponieważ nie mogła znieść bez niego.","At the age of two, he was smuggled into prison to hide under her skirts because she couldn't stand it without him.",3.833333333
"A potem wiesz, co robimy Negocjujemy.",And then you know what we do We negotiate.,4.583333333
"Ale tym, który naprawdę mnie stresuje, że nie byłem w stanie zrozumieć, jest to wyrażenie Cala a boca Galvao.",But the one that is really been sort of stressing me out that I haven not been able to figure out is this phrase Cala a boca Galvao.,4.083333333
Reuters włącza teraz afrykańskie blogi do swoich relacji z Afryki.,Reuters now includes African blogs in their relations with Africa.,4.333333333
"A więc porządkowanie sztuki, mam na myśli, muszę powiedzieć, że jest to stosunkowo nowy termin.","So ordering art, I mean, I have to say, it's a relatively new term.",4.333333333
"Jak szalone jest to, że nasza miara postępu, naszą dominującą miarą postępu w społeczeństwie, mierzy wszystko oprócz tego, co czyni życie wartościowym.","How crazy is it that our measure of progress, our dominant measure of progress in society, measures everything but what makes life worth living.",4.416666667
Uczeń 2 Co dostałeś Co dostałeś.,Student 2 What did you get What did you get.,4.5
"Punktem wyjścia do tej dyskusji był fakt, że wszyscy podlegaliśmy radom macierzystego kompleksu przemysłowego.",And the starting point is the for that discussion was the fact that we have all been subject to the advice of the parenting industrial complex.,4.333333333
"Głosy w moim umyśle przyjaciół, którzy zostali zabici.",Voices in my mind of friends who were killed.,4.5
"OK, więc możesz zobaczyć tutaj miejsce.",Okay so you can see here the spot.,4.166666667
"I w tym momencie dotarło do mnie, że minęło 47 lat, ale w końcu pojawił się pan Alligator.","And at that point, I realized it was 47 years ago, but Mr. Alligator finally showed up.",4.5
"Możemy skończyć z czymś takim, co oznacza, że ​​jest o wiele lepszy niż tamto.","We can end up with something like this, which means it's way better than that.",3.916666667
"Jestem tylko projektantem, więc ich potrzebuję.","I'm just a designer, so I need them.",5
"Wyszli i tam, gdzie mieszka Shriram, zaszczepili dwa miliony ludzi.",They went out and where Shriram lives they vaccinated two million people.,4.333333333
"Na linii była długa przerwa i powiedział, że na świecie jest po prostu za dużo kurczaka.",There was a long break on the line and he said there was just too much chicken in the world.,4.666666667
"Nie chcę ich zbytnio reklamować, to nie o to chodzi.","I don't want to advertise them too much, that's not the point.",4.833333333
"Brak zarządzania w wielu obszarach w obszarze korupcji i niszczenia środowiska w obszarze wykorzystywania kobiet i dzieci w obszarze zmian klimatycznych we wszystkich obszarach, w których naprawdę potrzebujemy zdolności do przywrócenia prymatu polityki w gospodarkę działającą na arenie światowej.",Failing governance in many areas in the area of corruption and the area of destruction of the environment in the area of exploitation of women and children in the area of climate change in all the areas in which we really need a capacity to reintroduce the primacy of politics into the economy which is operating in a worldwide arena.,4.083333333
"Oto król Cnut, tysiąc lat temu.","This is King Cnut, a thousand years ago.",4.25
Mogę tu pokazać bardzo dobry przykład.,I can show you a very good example here.,5
"Poszliśmy dalej, nawiązaliśmy współpracę z University of Technology Jamaica, gdzie mam teraz spotkanie.",We have gone further we have formed a relationship with the University of Technology Jamaica where I now have an appointment.,3.833333333
"Urządzenie radiowe kontroluje każdy mój krok, a czujnik podnosi moją stopę za każdym razem, gdy idę.",A radio device is controlling every step I take and a sensor picks up my foot for me every time I walk.,4.25
Więc masz te trzy tajemnice.,So you have these three mysteries.,4.5
"Innymi słowy, użyj tej fiksacji, aby zmotywować tego dzieciaka, co jest jedną z rzeczy, które musimy zrobić.",In other words use that fixation in order to motivate that kid that is one of the things we need to do.,3.583333333
"Edukacja synteza mądrości i wiedzy jest środkiem do dążenia do doskonalszego, bardziej świadomego, szlachetniejszego i bardziej sprawiedliwego społeczeństwa.",Education the synthesis of wisdom and knowledge is the means to strive for a more perfect more aware more noble and more just society.,4.416666667
A potem się cofa.,And then it goes back.,4.666666667
"Kiedy dokonujesz inwestycji, tak naprawdę mówisz, że zgadzam się, że każda z tych 100 rzeczy może mi się przytrafić i wpłynąć na moje bogactwo.","When you make an investment, you really say that I agree that any one of these 100 things can happen to me and affect my wealth.",4.583333333
"Tak więc mając zaledwie osiem miliardów dolarów, możemy osiągnąć milenijny cel, jakim jest zmniejszenie o połowę liczby ludzi bez dostępu do bezpiecznej wody pitnej.","So with only eight billion dollars, we can achieve the Millennium goal of halving the number of people without access to safe drinking water.",4.083333333
"To cała orkiestra złożona z około 100 instrumentów, z których każdy może grać z naturalnymi umiejętnościami.","This is a whole orchestra composed of about 100 instruments, each of which can play with natural skills.",4.166666667
Alvaro Siza dorastał i mieszkał w Portugalii i jest prawdopodobnie uważany za głównego portugalskiego architekta.,Alvaro Siza grew up and lived in Portugal and is probably considered the main Portuguese architect.,4.833333333
"A potem, gdy dojdziesz do stacji, jest ona rozszerzona, abyś mógł ją przeczytać.",And then when you get to a station it is expanded so that you can actually read it.,4.083333333
W wieku 10 lat byłem zmuszony do wyznaczenia trasy papierowej.,I was forced to get a paper route at 10 years old.,3.666666667
Na koniec pokażę przykładową historię kota Dusty'ego.,And last I am going to show you the example the story of Dusty the cat.,3.583333333
"I zacznę od tego, jeśli mama nie jest szczęśliwa, to nikt nie jest szczęśliwy.",And I am going to start with this one If momma ain not happy ain not nobody happy.,4.333333333
"Ale że zostanie skopiowany, jeśli to możliwe, bez względu na konsekwencje.",But that it will get copied if it can regardless of the consequences.,4.333333333
Spędziłem tydzień na morzu na statku badawczym.,I spent a week at sea on a research ship.,4.916666667
"W rezultacie jako przywódca gangu miałeś świadomość władzy, to całkiem niezłe życie, ale w końcu mieszkałeś w domu ze swoją matką.","As a result, as a gang leader, you were aware of power, it was a pretty good life, but you finally lived at home with your mother.",3.75
"Chodzi o to, że żaden lekarz nigdy nie zaleciłby wymiany stawu biodrowego Piroxicam ibuprofen.",The point is that no doctor would ever recommend replacement of the hip joint Piroxicam ibuprofen.,3.666666667
"Ale nie powinniśmy się oszukiwać i myśleć, że osiągniemy konsensus w tych sprawach.",But we shouldn not kid ourselves and think that we are going to reach a consensus about these things.,4.333333333
"Po prostu wkładam go do komputera, wyładowuję zdjęcia, wkładam z powrotem do aparatu. Nigdy nie muszę nic stracić.","I just put it in my computer, I unload the photos, I put it back in my camera, I never have to lose anything.",4.333333333
"A potem zacząłem dobrze myśleć, że oczywiście nie możemy po prostu pozbyć się CAPTCHA, ponieważ w pewnym sensie od nich zależy bezpieczeństwo sieci.",And then I started thinking well of course we can not just get rid of CAPTCHAs because the security of the Web sort of depends on them.,4.25
"A to, co staramy się zrobić w sposób typowy dla TED, to uporządkowanie wszystkich informacji biologicznych według projektu i funkcji inżynieryjnej.",And what we are trying to do in a TEDesque way is to organize all biological information by design and engineering function.,4.166666667
"Więc zamiast tego chcesz się skupić, to pozwolić dolnej części ciała przeciągnąć się za górną część ciała, podobnie jak mały samochód za dużym samochodem na autostradzie.",So what you want to focus on instead is allowing your lower body to draft behind your upper body much like a small car behind a big car on the highway.,3.166666667
"Chodzi o to, że nie mamy niczego jednorazowego.","The point is, we don't have anything single.",4.5
"Gdybym zawsze był wobec ciebie agresywny, dawał ci błędne informacje, zasmucał cię lub zaraził śmiercionośnymi zarazkami, zerwałbyś więzi ze mną i sieć się rozpadła.","If I'd always been violent with you, given you false information, grieved you or infected you with deadly germs, you'd have broken ties with me and the network would have fallen apart.",3.833333333
"Tak więc wielka historia może pokazać nam naturę naszej złożoności i kruchości oraz niebezpieczeństw, które przed nami stoją, ale może również pokazać nam naszą siłę dzięki zbiorowej nauce.",So what big history can do is show us the nature of our complexity and fragility and the dangers that face us but it can also show us our power with collective learning.,4.5
Jest to ubranie skóry bez obecności postaci.,It is the clothing the skin without the presence of the character.,3.833333333
"Więc to jest nasza ikona braku przemocy w naszym świecie, jedna z naszych żywych ikon.","So this is our icon of non-violence in our world, one of our living icons.",4.416666667
Musisz to odegrać.,You have to act it out.,5
"Chcę to zatrzymać na chwilę, ponieważ film jest bardzo kiepsko nakręcony.",I want to stop it for a second because the movie is very badly made.,4.333333333
"Ale przy ograniczonym czasie, jaki mamy, chciałbym pokazać ci pakiet poznawczy, który jest zdolnością do zasadniczo przenoszenia wirtualnych obiektów za pomocą umysłu.",But with the limited time we have available I would like to show you the cognitive suite which is the ability for you to basically move virtual objects with your mind.,4.333333333
"Dr Kang wyjdzie teraz na scenę i tak naprawdę pokażemy wam jedną z tych nerek, które wydrukowaliśmy dzisiaj trochę wcześniej.",Dr. Kang is gonna go out on stage right now and we're really gonna show you one of those kidneys that we printed a little earlier today.,4.333333333
Dorastaliśmy bez telewizora.,We grew up without a television.,4.416666667
"Przechodzimy do trzeciego etapu, w którym dajemy im tylko monetę.",We're going to the third stage where we only give them a coin.,4.75
"A zdjęcie rentgenowskie pokazuje, jak piękna może być natura.",And the X ray shows how beautiful nature can be.,4.583333333
"Wysiedliśmy więc, poszliśmy i na pewno około pół mili dotarliśmy do szczytu tego wzgórza i było tam ogromne zgromadzenie Beduinów z ich wielbłądami.",So we got out and walked and sure enough about half a mile we came over the crest of this hill and there was a huge gathering of Bedouin with their camels.,4.166666667
"I po trzecie, musimy szanować twórcę, twórcę tych remiksów, poprzez prawa, które są z nim bezpośrednio związane.",And number three We need to respect the creator the creator of these remixes through rights that are directly tied to them.,4.416666667
"Sposób, w jaki testujemy Dylana, polega na podawaniu mu danych wejściowych, jak powiedziałem, tego samego rodzaju, które otrzyma dziecko lub dziecko w Projekcie Prakash.","The way we test Dylan is to give him input data, as I said, of the same kind that a child or child will receive in Project Prakash.",3.583333333
"Cóż, jest wiele odpowiedzi, ale jedna z nich na pewno jest taka, że ​​widzimy wielu zwycięzców. Dobrze. Kiedy ta para wygrywa na loterii lub Ed McMahon pojawia się u twoich drzwi z tym gigantem, sprawdź, jak do cholery zarabiasz na rzeczy, których nie znam.","Well, there's a lot of answers, but one of them certainly is that we see a lot of winners. Okay. When this couple wins the lottery or Ed McMahon shows up at your door with that giant, see how the hell you make money for things I don't know.",3.75
A w Afryce Południowej szczęście kojarzy im się z seriti lub szacunkiem społeczności.,And in South Africa they associate happiness with seriti or community respect.,4.75
"Kreator map Google to technologia, która umożliwia każdemu z nas mapowanie tego, co znamy lokalnie.",Google Map Wizard is a technology that allows each of us to map what we know locally.,4.333333333
"Mama powiedziała, że ​​być rodziną to troszczyć się, dzielić i troszczyć się o siebie nawzajem.","Mom said being a family is about caring, sharing and caring for each other.",3.833333333
"Jak widać, mała pętla jest również lewitowana magnetycznie.","As you can see, a small loop is also levitated magnetically.",4.083333333
"Teraz wszyscy w tym pokoju w takiej czy innej formie jesteście prawdopodobnie klientami jednej lub obu z tych organizacji, które się połączyły.",Now all of you in this room in one form or other are probably customers of one or both of those organizations that merged.,4.5
Składał się z ogromnych chmur atomów wodoru i helu i nie ma żadnej struktury.,It consisted of huge clouds of hydrogen and helium atoms and they have no structure.,4.583333333
Kojarzy nam się również z byciem bezstresowym i na wakacjach.,We also associate being stressless and on vacation.,4
"Są wyjątkowymi odpowiedziami na fundamentalne pytanie, co to znaczy być człowiekiem i żyć.",They are unique answers to a fundamental question what does it mean to be human and alive.,4.5
To nie jest tak ważne jak zdrowie.,It's not as important as health.,4.333333333
"I kolego, który nas wkurzył.",And buddy that made us mad.,3.666666667
"Ale ta powolność, która ostrzegała przed faktem, że prezydent Clinton początkowo powiedział, że wojska amerykańskie będą rozmieszczone tylko na rok, okazała się mocną stroną i pomogła nam naprawić nasze priorytety.","But this slowness, which warned against the fact that President Clinton initially said that the U.S. troops would only be deployed for a year, turned out to be a strong force and helped us fix our priorities.",4.25
Jestem skażeniem dla tych wszystkich dzieci palantów bankierów inwestycyjnych.,I'm a contamination to all those kids of investment bankers' jerks.,4
"Postanowiłem więc, że lepiej zrobię to przez kolejny dzień i kolejny, i jeszcze jeden dzień, aż w końcu obiecałem sobie, że przez rok będę milczeć, ponieważ zacząłem się coraz więcej uczyć i musiałem się więcej nauczyć.",And so I decided I’d better do this for another day and another day and another day until finally I promised myself for a year I would keep quiet because I started learning more and more and I needed to learn more.,4.5
"Zaczęliśmy więc zadawać sobie pytanie, jakiego rodzaju mniej oczywistych wskaźników moglibyśmy użyć, aby faktycznie ocenić poczucie sensu naszych pracowników lub poczucie emocjonalnego związku z nami naszych klientów.",So we started asking ourselves what kind of less obvious indicators we could use to actually assess the sense of our employees or the emotional connection with our customers.,4
"Zrobiłem tylko kilka zdjęć dzieciom, a następnego dnia przyszedłem z plakatami i wkleiliśmy je.",I just took a few photos of the kids and the next day I came with the posters and we pasted them.,4.5
"I co składa się na tworzenie zabawek i narzędzi, których używamy każdego dnia.",And what consists of creating toys and tools that we use every day.,4.5
"Więc zamierzam z wami porozmawiać o tym, jak to przetworzyć i podam wam kilka przykładów z Iranu i będziecie się zastanawiać, dlaczego powinniśmy słuchać tego gościa.",So I'm going to talk to you about how to process this and I'm going to give you some examples from Iran and you're going to wonder why we should listen to this guy.,4.083333333
"Ale zamiast się ustatkować, pojechałem do Arizony.",But instead of settling down I went to Arizona.,4.5
"I powiedz: Tak, wiesz, że cała ta rozmowa była szeroka na milę i głęboka na cal, ale to naprawdę działa na mnie.","And say, ""Yes, you know, the whole conversation was a mile wide and deep an inch, but it really works on me.",4.416666667
"A jeśli uda mi się naprawić aparat, świetnie, zobaczysz, gdy się zbliżę.","And if I can fix my camera, great, you'll see when I get close.",4.333333333
"Nie, mówię poważnie.","No, I'm serious.",4.75
"Dr King uważał, że na tym świecie istnieją dwa rodzaje praw, które zostały ustanowione przez wyższy autorytet i te, które zostały ustanowione przez człowieka.",Dr. King believed that in this world there are two kinds of laws that have been established by higher authority and those that have been established by man.,4.333333333
"Miałem tę firmę, którą spędziłbym 15 lat budując. Nazywa się Future, była to firma wydawnicza.",I had this company that I would spent 15 years building It is called Future it was a magazine publishing company.,4
"A co gorsza, znacznie gorsze niż to, że moje poczucie własnej wartości w pewnym sensie wyparowało.",And worse than that far worse than that my sense of self worth was kind of evaporating.,4.083333333
Wszyscy używamy Wikipedii.,We all use Wikipedia.,4.833333333
Masz te zdjęcia ptaków.,You have these pictures of birds.,4.833333333
"Psycholog Barry Schwartz celuje w centralną zasadę wolności wyboru społeczeństw zachodnich W Schwartz jest to ocena szacunkowa, która nie uczyniła nas bardziej wolnymi, ale bardziej sparaliżowanymi, nie szczęśliwszymi, ale bardziej niezadowolonymi.","Psychologist Barry Schwartz aims at the central principle of freedom of choice for Western societies In Schwartz it is an estimate that has not made us more free, but more paralyzed, not happier, but more dissatisfied.",3.666666667
"Jeśli zmienimy rozmiary krajów świata proporcjonalnie do przedmiotu zainteresowania, zobaczymy, że Afryka Subsaharyjska jest regionem najbardziej dotkniętym przez HIV / AIDS.",If we resize the countries of the globe in proportion to the subject of interest we see that Sub Saharan Africa is the worst hit region by HIV/AIDS.,4.583333333
"Uważa się jednak, że najstarsze żyjące sekwoje mają prawdopodobnie 2500 lat, mniej więcej w wieku Partenonu, chociaż podejrzewa się również, że mogą istnieć pojedyncze drzewa, które są starsze.","However, it is believed that the oldest living redwoods are probably 2500 years old, about the age of Parthenon, although it is also suspected that there may be individual trees that are older.",4.166666667
"I wystarczy dosłownie wysłać tam małe fabryki jądrowe, które pochłaniają tlenek żelaza na powierzchni Marsa i wypluwają tlen.",And just literally send in small nuclear factories that absorb iron oxide on the surface of Mars and spit out oxygen.,4.416666667
"Afganistan wiemy, jak poważnym problemem dla bezpieczeństwa jest Afganistan dla tak wielu z nas na świecie.",Afghanistan we know how serious a security issue Afghanistan is for so many of us in the world.,4.083333333
Nasza siedziba znajduje się na Florydzie.,We are based down in Florida.,4.666666667
"Ilu z nich miało okazję wyjechać do USA, tak jak ja.",How many have got opportunity like me to go to US do a master is.,4.333333333
"Kiedy więc zaczniesz skakać ze spadochronem lub palisz, bagatelizujesz ryzyko.","So when you start jumping with a parachute or smoking, you minimize the risk.",4.25
"Widzimy, jak ten system pozwala mu podejść do dowolnej powierzchni i zacząć używać rąk do interakcji z informacjami wyświetlanymi przed nim.",We see how this system allows it to approach any surface and start using hands to interact with the information displayed before it.,4.5
A teraz spójrz na to plastikowe krzesło.,Now look at this plastic chair.,4.833333333
"Jeśli połączymy pierwsze dwa ciało i metabolizm, możemy stworzyć system, który być może mógłby się poruszać i replikować, a jeśli połączymy je teraz z dziedziczną informacją, możemy stworzyć system, który byłby bardziej realistyczny i być może ewoluowałby.","If we combine the first two bodies and metabolisms, we can create a system that maybe could move and replicate, and if we combine them with hereditary information now, we can create a system that would be more realistic and possibly evolve.",4.25
"Jedna trudność polega na tym, jak koordynować wiele tych robotów.",So one difficulty is how do you coordinate lots of these robots.,4.416666667
Tak więc David jest pięcioma najważniejszymi wskazówkami dotyczącymi prezentacji.,So David is top five presentation tips.,4.25
Spójrz na to teraz.,Look at this now.,4.666666667
"Czy udałbyś się do rządów, lobbował i użył systemu.","Would you go to government, lobby and use the system?",4.333333333
"I trzecia część jest taka, że ​​mimo wszystko wszyscy zgodziliśmy się co do naprawdę niezwykłych zdolności, jakie mają dzieci w zakresie innowacji. Mam na myśli, że Sirena zeszłej nocy była cudem, nie tylko widziała, co potrafi.","And the third part is that, after all, we all agreed on the really extraordinary abilities that children have in innovation. I mean, Sirena was a miracle last night, not only saw what she could do.",3.583333333
"Skąd wiesz, że to właśnie zrobiłeś.",How do you know that's what you did?,4.5
Więc co możemy zrobić.,So what can we do.,4.583333333
"Myśleli, że po prostu się ubierasz i nic nie możesz z tym zrobić, tak jak stary but.",They thought you just wear out there is nothing you can do about it kind of like an old shoe.,4.416666667
"Ale myślę, że chodzi o to, że te osoby mają te osobowości i charaktery.",But that is I think what this is all about is that these individuals have these personalities and characters.,4.333333333
"Uwierz mi, jest o wiele łatwiejsze sposoby zarabiania pieniędzy.","Believe me, there's a lot easier ways to make money.",4.25
Lydia to 66-letnia rolniczka ze Szwajcarii.,Lydia's a 66-year-old Swiss farmer.,4.666666667
"Widzę, że skały są tutaj.",I can see the rocks are over here.,4.666666667
Stopniowo zmieniał się od polityki grabieży do polityki nadziei Dziękuję.,Gradually it would shift from a politics of plunder to a politics of hope Thank you.,4.333333333
To byłby wspaniały artykuł.,Now this would have been a wonderful paper.,4.666666667
Wydobywa się tu z oceanu i jest ciągnięty w kierunku Indii.,It comes off the ocean here and is drawn up towards India.,4.333333333
"Aby czerpać zyski ze swojej ropy, musi ją eksportować przez Turcję lub Syrię i inne kraje oraz sam Irak.",In order to profit from its oil it has to export it through Turkey or Syria and other countries and Iraq itself.,4.583333333
"Dysmorfofobia to skrajna wersja tego, że nie postrzegamy siebie tak, jak widzą nas inni.",Dysmorphophobia is an extreme version of the fact that we don not see ourselves as others see us.,4.75
"I znowu nie możemy się tego dowiedzieć, ale jest jasne, że musiała pojawić się nowa forma bogactwa.",And again we have no way of knowing but it is clear that a new form of wealth must have emerged.,3.916666667
"Dziękuję, że mnie nakarmiłeś i wychowałeś, i za to, że uczyniłeś moje dzisiejsze życie. Dziękuję.",Thank you for feeding me and raising me and for making my life today.,4.25
"Rozmawiałem z ponad 200 kobietami Rozmawiałem ze starszymi kobietami, młodszymi kobietami, mężatkami, lesbijkami, samotnymi kobietami. Rozmawiałem z pracownikami korporacji, profesorami aktorzy, aktorkami. Rozmawiałem z Afroamerykankami.","I've talked to over 200 women, older women, younger women, married women, lesbians, single women.",3.166666667
"I to było jedno z moich głównych odkryć, dzięki którym odkryłem, że te wyspy są mniej więcej takie same jak cała wielka rzecz.",And that was one of my major discoveries to find that these islands were the same as the whole big thing more or less.,4.083333333
Czy wydałbyś pozostałe 20 dolarów na bilet?,Would you spend the remaining $20 on a ticket?,4.666666667
Przed nami wielkie wyzwanie.,The big challenge in front of us.,4.666666667
"Powiedział, że kiedy zgasły światła i na kilka cennych godzin grała sztuka Szekspira, mógł sobie wyobrazić siebie w Prince Hal, to czas.","He said when the lights went out and Shakespeare's art was playing for a few precious hours, he could have imagined himself at Prince Hal, it was time.",4.083333333
"I jest to wzmocnienie ekonomiczne i zdolność kobiety do powiedzenia, że ​​wnoszę taki sam lub większy wkład w tę rodzinę niż ty.",And it's an economic boost and a woman's ability to say that I make the same or greater contribution to this family than you do.,3.916666667
"I nie mówię tutaj o całej komedii, ponieważ wyraźnie jest mnóstwo humoru, który bezpiecznie ubarwia to, co już myślimy i czujemy.","And I'm not talking about the whole comedy here, because clearly there's a lot of humor that safely colors what we already think and feel.",4.333333333
"Teraz chcę zastrzec, jak mówią prawnicy, że LOLcats to najgłupszy z możliwych akt twórczych.","Now I want to warn you, as the lawyers say, that the LOLcats are the dumbest possible creative act.",4.416666667
Wylądowaliśmy z 40 kilogramami.,We landed with 40 kilos.,4.5
DR Ma on idzie.,DR Ma he is walking.,4.5
"Pęknięcia są zbyt małe, aby wbić w nie palce, więc jedynym sposobem na wspinanie się jest użycie czubków palców w pęknięciach i użycie przeciwnego nacisku i zmuszenie się do wstania.",The cracks are too small to get your toes into so the only way to climb is using your fingertips in the cracks and using opposing pressure and forcing yourself up.,4
CA 1824.,CA 1824.,4.583333333
